plan,model,cell,old_value,new_value,finding,confidence,confidence_reason,business_impact
Monthly,sBG (not recommended -- see comparison),Model Assumptions!C32,(read live from sheet),0.0979,Monthly M7-12 churn: fit params [1.20896786 2.88209189] on 153 real data points.,HIGH,"Improved on aggregate (0.0241 vs 0.0390), won 80% of 5 folds, 125 held-out points, no fold hit an optimizer bound. Consistent, well-supported result.",1st Yr LTV: £136.13 -> £129.46 (WORSENS); CAC:LTV WORSENS
Monthly,sBG (not recommended -- see comparison),Cohort Modelling!B20,0.0300,0.0979,Monthly M7-12 churn (cell the live curve actually uses): fit params [1.20896786 2.88209189] on 153 real data points.,HIGH,"Improved on aggregate (0.0241 vs 0.0390), won 80% of 5 folds, 125 held-out points, no fold hit an optimizer bound. Consistent, well-supported result.",1st Yr LTV: £136.13 -> £129.46 (WORSENS); CAC:LTV WORSENS
Monthly,sBG (not recommended -- see comparison),Model Assumptions!C33,(read live from sheet),0.0575,Monthly M13-24 churn: fit params [1.20896786 2.88209189] on 153 real data points.,HIGH,"Improved on aggregate (0.0241 vs 0.0390), won 80% of 5 folds, 125 held-out points, no fold hit an optimizer bound. Consistent, well-supported result.",1st Yr LTV: £136.13 -> £129.46 (WORSENS); CAC:LTV WORSENS
Monthly,sBG (not recommended -- see comparison),Model Assumptions!C34,(read live from sheet),0.0315,Monthly post-M24 churn: fit params [1.20896786 2.88209189] on 153 real data points.,HIGH,"Improved on aggregate (0.0241 vs 0.0390), won 80% of 5 folds, 125 held-out points, no fold hit an optimizer bound. Consistent, well-supported result.",1st Yr LTV: £136.13 -> £129.46 (WORSENS); CAC:LTV WORSENS
Monthly,BdW (RECOMMENDED),Model Assumptions!C32,(read live from sheet),0.1035,Monthly M7-12 churn: fit params [1.57812387 3.71111231 0.92884454] on 153 real data points.,HIGH,"Improved on aggregate (0.0234 vs 0.0390), won 100% of 5 folds, 125 held-out points, no fold hit an optimizer bound. Consistent, well-supported result.",1st Yr LTV: £136.13 -> £128.97 (WORSENS); CAC:LTV WORSENS
Monthly,BdW (RECOMMENDED),Cohort Modelling!B20,0.0300,0.1035,Monthly M7-12 churn (cell the live curve actually uses): fit params [1.57812387 3.71111231 0.92884454] on 153 real data points.,HIGH,"Improved on aggregate (0.0234 vs 0.0390), won 100% of 5 folds, 125 held-out points, no fold hit an optimizer bound. Consistent, well-supported result.",1st Yr LTV: £136.13 -> £128.97 (WORSENS); CAC:LTV WORSENS
Monthly,BdW (RECOMMENDED),Model Assumptions!C33,(read live from sheet),0.0635,Monthly M13-24 churn: fit params [1.57812387 3.71111231 0.92884454] on 153 real data points.,HIGH,"Improved on aggregate (0.0234 vs 0.0390), won 100% of 5 folds, 125 held-out points, no fold hit an optimizer bound. Consistent, well-supported result.",1st Yr LTV: £136.13 -> £128.97 (WORSENS); CAC:LTV WORSENS
Monthly,BdW (RECOMMENDED),Model Assumptions!C34,(read live from sheet),0.0360,Monthly post-M24 churn: fit params [1.57812387 3.71111231 0.92884454] on 153 real data points.,HIGH,"Improved on aggregate (0.0234 vs 0.0390), won 100% of 5 folds, 125 held-out points, no fold hit an optimizer bound. Consistent, well-supported result.",1st Yr LTV: £136.13 -> £128.97 (WORSENS); CAC:LTV WORSENS
3-Month,sBG (RECOMMENDED),"Cohort Modelling!K415 (I415, J415 flattened to =H415)",0.1952 (via noisy compounded formula),0.236565,3-Month month-9 retention: fit params [ 7.20459018 10.72482574] on 57 real data points.,LOW,"Aggregate MAE improved (0.0527 vs 0.0845), but at least one fold's fit hit the optimizer's bound (alpha or beta pushed to an extreme value) -- a sign that fold simply didn't have enough training data yet for a stable fit. Treat as directionally useful, not settled.",1st Yr LTV: £126.83 -> £129.93 (IMPROVES); CAC:LTV IMPROVES
3-Month,sBG (RECOMMENDED),Model Assumptions!C43,(read live),0.1312,3-Month M7-12 churn (monthly-equiv.): derived from the same fit as month-9 above.,LOW,"Aggregate MAE improved (0.0527 vs 0.0845), but at least one fold's fit hit the optimizer's bound (alpha or beta pushed to an extreme value) -- a sign that fold simply didn't have enough training data yet for a stable fit. Treat as directionally useful, not settled.","Affects 2yr/3yr/4yr LTV, not 1st Yr LTV -- not separately computed."
3-Month,sBG (RECOMMENDED),Model Assumptions!C44,(read live),0.1156,3-Month M13-24 churn (monthly-equiv.): derived from the same fit as month-9 above.,LOW,"Aggregate MAE improved (0.0527 vs 0.0845), but at least one fold's fit hit the optimizer's bound (alpha or beta pushed to an extreme value) -- a sign that fold simply didn't have enough training data yet for a stable fit. Treat as directionally useful, not settled.","Affects 2yr/3yr/4yr LTV, not 1st Yr LTV -- not separately computed."
